x,y,z
-4.645833,5.732805,3.071581
4.239249,-1.676678,-1.792198
1.624792,2.174904,-1.453676
1.009734,-0.171405,6.087947
-5.079386,2.439964,4.283263
1.947964,-3.264075,2.026363
1.271585,1.573738,-1.862258
7.122136,-0.661346,4.754926
-1.919553,1.906401,-1.106062
4.439662,0.137323,0.510368
-2.129040,1.136076,2.069061
2.819717,2.904648,-2.623221
3.646408,-1.087819,0.263140
1.789658,-8.568590,1.461539
6.251612,-3.516932,-7.333363
2.387821,2.784139,-7.529902
0.045821,2.589682,-1.214541
-0.100488,-1.463275,0.938034
-3.893452,4.684455,-4.039986
-7.318819,-3.665737,1.954751
2.365849,0.927659,-4.981354
5.359956,1.702693,-2.861199
3.847653,-2.566037,2.875698
-1.775881,-1.994305,-0.078426
-2.774779,2.202158,-0.054382
-8.212317,3.511839,3.927397
-3.414486,-2.108256,-2.748333
-4.988785,-1.218400,-1.104847
0.576272,4.765067,0.934318
-5.193648,3.515195,3.167341
3.381242,-0.112154,-1.147201
-4.953026,-2.923428,-2.679139
-1.195645,-0.073282,6.327727
-3.364684,-1.052260,-0.614929
-3.762751,-4.339038,2.070719
-0.626635,1.986446,-4.263609
-2.847400,5.068009,1.829775
-0.606880,-1.453795,-7.264083
0.871811,0.863489,2.014438
-9.958586,2.463297,-3.208159
2.756677,8.935059,1.720028
3.595360,1.391404,3.066466
-2.935518,4.431111,0.577736
-0.060325,7.229931,-1.366656
6.611901,-1.906053,2.544619
5.302633,1.952490,-0.456951
-4.709589,-5.404219,-5.692828
-2.623318,4.916977,2.328771
-4.435508,0.486202,-2.254852
-0.831541,2.666951,9.264723
5.860912,4.919663,-4.663138
-4.312959,1.200416,0.749766
3.942884,1.343821,0.716776
0.291330,5.268827,2.261138
8.384111,4.013528,-5.319789
-5.745031,-4.206780,0.633649
-7.438221,1.734214,-0.953869
1.698567,-1.180311,-4.942891
0.099056,-0.919799,-0.186467
6.961581,-2.569731,-2.699403
4.001504,-0.428814,-3.050800
-2.152008,-1.052637,2.097695
2.191274,1.467601,-0.015351
0.605414,-4.457514,1.502658
-3.199303,8.233726,7.157047
-0.299352,4.775346,4.257219
9.255689,0.717626,-2.574713
2.500452,-3.224597,1.510930
3.118617,-2.344046,-3.017731
-11.048120,4.185039,-2.563482
2.751184,5.552187,2.167061
3.447456,1.576999,-4.320445
-0.532110,-1.728317,-3.989521
4.921047,0.618306,-0.120709
-7.344464,5.548606,-0.418909
-1.505749,6.112668,-2.015716
4.160654,3.560213,-1.812875
-0.625122,-2.493869,4.555462
4.905706,0.343158,0.079312
-0.025785,-6.469544,-0.543364
-2.618699,3.424403,0.056709
1.239175,-2.905995,3.462938
1.670866,-2.060953,-2.319451
1.453209,-4.268601,-1.877726
0.552852,-2.174554,-3.242842
-3.989260,3.871387,-0.298339
0.389658,-2.531659,-0.969418
-0.629372,0.947099,1.242621
-5.023674,-5.281515,1.496539
1.342730,4.647089,-6.454314
4.727054,-3.124123,6.983207
-1.037031,4.830708,-2.750552
-1.375730,-1.867934,-3.364670
2.948042,-0.147226,-5.549396
-0.141634,1.878983,-0.181795
-1.597518,0.619643,-1.023115
3.528077,4.997625,-1.329604
-1.270766,2.925134,-0.204785
3.473031,4.136082,-6.328178
-1.365533,-4.239782,-5.850532
-1.075286,1.873672,3.247109
-1.520902,0.270048,-3.047202
-2.078210,0.409122,-4.308822
-4.185903,-6.544230,-0.881560
-5.172233,-4.208320,-4.899168
-4.303204,4.040154,1.881836
-2.857808,-4.337570,5.395480
-3.031981,6.483704,7.568874
-0.941823,-2.833947,2.330870
-5.078735,-1.624274,-0.688082
-0.359378,-7.800359,9.118255
-5.380511,4.136958,3.847840
3.666042,0.059521,-1.591216
-1.446940,-2.854469,-2.064026
-6.038074,-4.361502,-0.220854
1.301276,0.063058,1.123087
-4.310993,-2.811308,-2.145447
6.830387,2.471922,1.196828
-2.380565,-0.830569,-6.991948
-5.172320,6.094265,3.501644
6.780912,-2.428034,3.047170
-3.358584,-7.244301,4.163691
1.209156,6.486939,1.387074
0.108479,-4.155602,-3.328208
3.180611,0.402749,-1.046959
-0.886187,-4.100647,-3.517619
-3.987867,2.264828,0.154910
-0.291073,-5.297013,9.165722
2.482356,2.980378,3.137032
5.206134,-5.030008,2.191582
-1.128495,-4.670026,1.385020
-1.588120,-0.905853,-6.045915
1.759885,2.934694,9.095224
-3.712749,-1.825809,-2.416354
5.812943,-3.427104,-1.815162
-0.186393,-1.452471,3.857704
2.486410,2.098017,3.884199
-0.350468,-5.466210,4.328354
2.318037,-5.124975,7.661944
3.762349,-5.557731,-7.871404
-1.603069,4.369260,-6.927693
2.381099,-0.927008,5.080775
-7.274153,-2.107675,0.131524
4.058238,2.962420,-1.998546
-4.095444,0.934781,-2.006947
1.774542,0.517390,2.233020
-4.520744,-3.608317,0.529063
6.158726,-5.693919,-2.470887
-4.153761,-4.926190,1.894227
1.196325,-0.597186,-5.011312
-7.077313,-1.760088,1.772080
2.112362,3.195937,6.786053
5.827122,0.108646,1.001221
-0.349568,-2.296978,-2.300625
-2.083126,7.286873,1.501907
1.813453,4.470549,-0.698697
-4.151839,-8.131870,-10.900136
5.442181,0.995041,1.816162
-1.512967,1.028082,-0.412293
-0.115197,1.543210,10.642473
-3.055319,-1.946887,0.775927
-0.486766,-1.031481,-1.722006
-5.076073,2.093702,2.116318
0.098366,-2.475183,-0.458338
0.303337,2.283673,-0.747429
5.872256,-4.648067,7.708563
2.811302,7.102498,-5.310522
3.275094,4.172765,5.044663
4.517694,0.751598,3.017274
2.856475,5.912901,0.663807
1.231548,0.574961,-1.783771
2.295803,-5.791369,-5.313812
-9.307193,6.599774,-6.086773
-1.177521,1.314779,-2.037343
-4.967131,-3.224991,0.513692
-1.172646,-1.130221,-2.853743
4.676912,-0.398064,-3.860229
-5.692509,3.975258,-1.242196
2.634308,5.779806,4.129678
0.480420,-0.884183,2.655594
-7.786543,-2.545822,2.885590
-5.228576,2.066886,-6.190128
-0.799818,-1.406355,2.902174
-4.153930,1.813280,5.031740
-3.539816,-6.011633,3.583275
-1.985896,-0.867481,0.207219
-2.795771,-2.119737,7.413444
-0.401566,8.210895,2.490522
-5.661115,3.656228,-0.980285
-2.332693,-2.107687,2.649599
-2.492053,-3.061155,4.717239
-2.429094,-3.722106,-4.127091
3.467286,-0.921302,0.299650
2.859836,-3.720995,5.765104
4.175735,-3.970853,0.478344
5.539941,-1.705466,-3.470258
2.944351,-2.624134,-0.233445
-3.760724,-2.834513,2.007985
2.143439,-0.268309,3.354165
10.016680,2.617266,4.420582
-6.592908,0.842965,2.612128
-0.150839,-3.409691,-3.841914
6.880671,-0.923585,-2.593845
6.205336,-5.595685,-1.525825
12.174748,7.110492,2.241310
-3.186164,3.911160,-0.037124
1.703907,5.170114,-4.528693
3.442451,-9.092400,0.991368
8.069993,3.586181,-2.075905
-7.334086,0.105352,1.333869
1.894075,-1.121971,0.636438
4.423622,-6.498670,-0.946563
-0.430725,0.673103,4.747135
-0.450810,0.123519,3.225904
2.545246,-0.502112,1.955203
-0.752214,-0.851001,-2.394152
4.386319,-1.786355,3.755900
1.560115,-5.943111,-7.695672
-2.359498,0.400710,-1.504958
-2.668507,-6.212095,0.505618
-8.099393,9.169042,-6.517306
2.091323,-0.492609,-3.640217
-6.592312,-2.918720,-10.232993
7.295021,0.078295,-0.292869
-3.853225,0.775552,-3.958503
0.060912,-3.497045,-2.511906
0.285343,3.270241,2.902388
-2.323875,-8.503778,-6.881880
3.048723,3.613271,2.971317
1.341777,-5.880896,-3.076193
1.686383,-7.053527,1.927181
5.133452,0.048639,6.123823
1.426734,4.846954,-0.299417
-2.963191,-0.914143,1.429768
11.266621,-5.163131,1.054634
-7.642563,0.301665,-2.060630
5.322373,-2.340924,0.397877
3.871648,-0.974206,-3.208172
-1.433444,1.619686,-4.780334
3.512384,0.687773,2.462677
-7.637156,-5.142082,1.697957
1.791195,-9.253912,-8.300722
-3.634956,4.528555,5.236959
0.679702,2.639273,6.420836
7.837304,-0.732894,-4.341632
5.270795,4.310270,3.513155
0.386860,0.939465,7.002192
-2.659557,3.001002,2.053296
5.710528,2.289572,-0.771589
-2.925718,-5.779302,-4.805030
2.688542,6.881034,-7.708594
-0.562194,5.006336,3.616832
2.957145,5.161964,-2.050850
-7.950540,3.720656,-1.459401
-6.729682,1.895580,1.624628
-1.875091,-2.798334,6.419434
